feature,importance
plas,0.29967496040707803
mass,0.17106459090156784
age,0.12078530213403718
pedi,0.11493147333772928
pres,0.08047451968461146
preg,0.07436939502462332
insu,0.07372261084148796
skin,0.06497714766886496
