feature,importance
plas,0.27583191079595903
mass,0.17346395828214714
age,0.1352494250189733
pedi,0.11846294057028474
pres,0.08157550255862982
preg,0.07599897434616014
insu,0.07119889897154198
skin,0.06821838945630386
