feature,importance
plas,0.3039128023298129
mass,0.17234825536930531
age,0.13686469934314874
pedi,0.1108353097264602
pres,0.07121627058027638
preg,0.07035355195646163
insu,0.0679708957388293
skin,0.06649821495570551
