feature,importance
plas,0.35238464658099194
mass,0.18073434147211248
pedi,0.13734080206909227
age,0.1258602830343464
preg,0.06244710560051058
pres,0.060331968819210546
insu,0.05366569338756487
skin,0.027235159036170936
