feature,importance
plas,0.26839778209124765
mass,0.17051548338024555
age,0.13271679685198412
pedi,0.12414084183969964
pres,0.08243356748985506
preg,0.0793489927432431
insu,0.07308420495101844
skin,0.06936233065270656
